player,total_runs,balls_faced,innings,dismissals,strike_rate,batting_avg,recent_strike_rate,ball_bowled,runs_conceded,matches,wickets,economy,bowling_avg,recent_economy
BJ Hodge,1400.0,1153.0,63.0,46.0,121.42237640936686,30.434782608695652,115.28326865550973,238.0,310.0,20.0,17.0,7.815126050420169,18.235294117647058,7.933333333333334
BJ Rohrer,193.0,146.0,8.0,7.0,132.1917808219178,27.571428571428573,148.8440332679189,7.0,12.0,1.0,0.0,10.285714285714285,31.396128841607563,12.0
BMAJ Mendis,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,30.0,36.0,2.0,1.0,7.2,36.0,7.2
BW Hilfenhaus,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,390.0,497.0,17.0,22.0,7.6461538461538465,22.59090909090909,9.033333333333333
Basil Thampi,32.0,37.0,7.0,2.0,86.48648648648648,16.0,66.33333333333333,539.0,862.0,25.0,22.0,9.595547309833025,39.18181818181818,10.166666666666666
Bipul Sharma,187.0,124.0,17.0,6.0,150.80645161290323,31.166666666666668,145.75757575757578,436.0,581.0,28.0,17.0,7.9954128440366965,34.1764705882353,8.333333333333334
C Bosch,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,45.0,56.0,2.0,1.0,7.466666666666667,56.0,8.0
C Ganapathy,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,6.0,13.0,1.0,0.0,13.0,31.396128841607563,13.0
C Green,707.0,472.0,28.0,20.0,149.78813559322032,35.35,133.2861952861953,462.0,675.0,29.0,16.0,8.766233766233766,42.1875,8.4
C Munro,177.0,144.0,11.0,9.0,122.91666666666667,19.666666666666668,82.03846153846153,12.0,15.0,2.0,0.0,7.5,31.396128841607563,7.5
C Nanda,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,50.0,58.0,3.0,2.0,6.959999999999999,29.0,7.25
C Sakariya,20.0,31.0,7.0,5.0,64.51612903225806,4.0,67.33333333333333,479.0,649.0,20.0,20.0,8.129436325678498,32.45,9.266666666666667
C de Grandhomme,303.0,229.0,21.0,15.0,132.31441048034935,20.2,69.79166666666666,230.0,323.0,19.0,6.0,8.426086956521738,53.833333333333336,9.233333333333333
CA Ingram,205.0,183.0,15.0,12.0,112.02185792349727,17.083333333333332,95.86335403726709,,,,0.0,8.529553786998122,31.396128841607563,9.1
CA Lynn,1329.0,974.0,42.0,39.0,136.4476386036961,34.07692307692308,134.5576454197144,,,,0.0,8.529553786998122,31.396128841607563,9.1
CA Pujara,390.0,403.0,22.0,18.0,96.7741935483871,21.666666666666668,91.26475279106857,,,,0.0,8.529553786998122,31.396128841607563,9.1
CH Gayle,4997.0,3516.0,141.0,128.0,142.1217292377702,39.0390625,86.24444444444444,584.0,755.0,38.0,18.0,7.756849315068494,41.94444444444444,8.366666666666667
CH Morris,618.0,413.0,49.0,29.0,149.636803874092,21.310344827586206,63.333333333333336,1801.0,2377.0,81.0,96.0,7.91893392559689,24.760416666666668,9.8
CJ Anderson,538.0,436.0,29.0,22.0,123.39449541284404,24.454545454545453,44.74358974358974,315.0,525.0,22.0,11.0,10.0,47.72727272727273,10.533333333333333
CJ Dala,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,19.0,34.0,1.0,0.0,10.736842105263158,31.396128841607563,11.333333333333334
CJ Ferguson,98.0,119.0,8.0,6.0,82.35294117647058,16.333333333333332,76.32928475033737,,,,0.0,8.529553786998122,31.396128841607563,9.1
CJ Green,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,17.0,24.0,1.0,0.0,8.470588235294118,31.396128841607563,8.0
CJ Jordan,81.0,81.0,12.0,9.0,100.0,9.0,81.42857142857143,717.0,1111.0,34.0,30.0,9.297071129707113,37.03333333333333,11.766666666666667
CJ McKay,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,42.0,60.0,2.0,1.0,8.571428571428571,60.0,8.571428571428571
CK Kapugedera,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,17.0,49.0,3.0,0.0,17.294117647058822,31.396128841607563,16.333333333333332
CK Langeveldt,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,165.0,199.0,7.0,13.0,7.236363636363636,15.307692307692308,7.653846153846154
CL White,971.0,774.0,45.0,35.0,125.45219638242895,27.742857142857144,92.9761904761905,46.0,86.0,6.0,1.0,11.217391304347826,86.0,12.285714285714286
CM Gautam,169.0,158.0,13.0,9.0,106.9620253164557,18.77777777777778,80.5215053763441,,,,0.0,8.529553786998122,31.396128841607563,9.1
CR Brathwaite,181.0,120.0,14.0,14.0,150.83333333333334,12.928571428571429,143.53679653679654,266.0,384.0,16.0,13.0,8.661654135338345,29.53846153846154,8.566666666666666
CR Woakes,78.0,77.0,12.0,5.0,101.29870129870129,15.6,77.27272727272728,463.0,674.0,21.0,30.0,8.734341252699783,22.466666666666665,9.366666666666667
CRD Fernando,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,249.0,306.0,10.0,17.0,7.373493975903615,18.0,8.1
CV Varun,26.0,50.0,11.0,2.0,52.0,13.0,62.5,1932.0,2432.0,83.0,100.0,7.552795031055901,24.32,8.3
D Brevis,455.0,305.0,16.0,16.0,149.18032786885246,28.4375,145.1334713595583,3.0,8.0,1.0,1.0,16.0,8.0,8.0
